Fighter1,Fighter2,F1 Winner?,F2 Winner?,Fight Method,Round,Time,Time Format,Referee,Finish Details or Judges Scorecard,Bout,Event Name,Location,Date,Rounds,Total Strike Landed R1  Disp.,Total Strike Missed R1  Disp.,Non-Sig. Strike Landed R1  Disp.,Non-Sig. Strike Missed R1  Disp.,Sig. Strike Landed R1  Disp.,Sig. Strike Missed R1  Disp.,Head R1  Disp.,Body R1  Disp.,Leg R1  Disp.,Distance R1  Disp.,Clinch R1  Disp.,Ground R1  Disp.,Knockdowns R1  Disp.,TD Completed R1  Disp.,TD Missed R1  Disp.,Sub. Att R1  Disp.,Rev. R1  Disp.,Ctrl Time (Minutes) R1  Disp.,Total Strike Landed R2  Disp.,Total Strike Missed R2  Disp.,Non-Sig. Strike Landed R2  Disp.,Non-Sig. Strike Missed R2  Disp.,Sig. Strike Landed R2  Disp.,Sig. Strike Missed R2  Disp.,Head R2  Disp.,Body R2  Disp.,Leg R2  Disp.,Distance R2  Disp.,Clinch R2  Disp.,Ground R2  Disp.,Knockdowns R2  Disp.,TD Completed R2  Disp.,TD Missed R2  Disp.,Sub. Att R2  Disp.,Rev. R2  Disp.,Ctrl Time (Minutes) R2  Disp.,Total Strike Landed R3  Disp.,Total Strike Missed R3  Disp.,Non-Sig. Strike Landed R3  Disp.,Non-Sig. Strike Missed R3  Disp.,Sig. Strike Landed R3  Disp.,Sig. Strike Missed R3  Disp.,Head R3  Disp.,Body R3  Disp.,Leg R3  Disp.,Distance R3  Disp.,Clinch R3  Disp.,Ground R3  Disp.,Knockdowns R3  Disp.,TD Completed R3  Disp.,TD Missed R3  Disp.,Sub. Att R3  Disp.,Rev. R3  Disp.,Ctrl Time (Minutes) R3  Disp.
Caio Machado,Brendson Ribeiro,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Jerin Valel,Sal D'amato 28 - 29. Thomas Collins 29 - 28. Mike Bell 28 - 29.,Light Heavyweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,6,3,0,0,6,3,-3,2,7,6,0,0,0,0,0,0,0,0,10,12,0,0,10,12,1,7,2,10,0,0,0,0,0,0,0,0,14,11,3,0,11,11,1,8,2,11,0,0,0,0,0,0,0,0.033333333
Mike Malott,Trevin Giles,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Andy Social,Eric Colon 27 - 30. Thomas Collins 28 - 29. Mike Bell 28 - 29.,Welterweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,3,18,0,0,3,18,-2,4,1,3,0,0,0,0,0,0,0,0,11,11,0,0,11,11,0,6,5,11,0,0,0,0,1,0,0,0,11,-2,0,0,11,-2,1,6,4,11,0,0,0,0,0,0,0,0
Aiemann Zahabi,Pedro Munhoz,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,Sal D'amato 27 - 30. Eric Colon 28 - 29. Mike Bell 28 - 29.,Bantamweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,4,-25,0,0,4,-25,1,4,-1,5,-1,0,0,0,1,0,0,0,20,-37,1,1,19,-38,21,1,-3,19,0,0,0,0,-3,0,0,-0.033333333,-9,-72,0,0,-9,-72,-6,-1,-2,-9,0,0,0,0,-3,0,0,0
Alexandr Romanov,Rodrigo Nascimento,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Jason Tatlow 27 - 30. Thomas Collins 27 - 30. Sal D'amato 27 - 30.,Heavyweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,28,4,27,1,1,3,2,-1,0,-1,0,2,0,4,1,1,0,4.783333333,2,21,-14,0,7,-13,7,-1,1,6,1,0,0,2,2,0,0,2.766666667,9,-3,3,0,6,-3,9,-2,-1,4,2,0,0,0,1,0,0,0
Serhiy Sidey,Garrett Armfield,1,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Andy Social,Derek Cleary 28 - 29. Mike Bell 29 - 28. Junichiro Kamijo 28 - 29.,Bantamweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,-1,5,3,0,-4,5,-12,5,3,-5,1,0,0,-1,1,1,0,-0.366666667,-4,-2,0,0,-4,-2,-6,3,-1,-5,1,0,0,0,2,0,0,-0.033333333,3,2,-2,0,5,2,1,5,-1,5,1,-1,0,-3,0,1,1,-3.7
Chad Anheliger,Cody Gibson,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,Derek Cleary 26 - 30. Junichiro Kamijo 27 - 30. Ziad Harb 27 - 30.,Bantamweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,-10,-6,-11,2,1,-8,0,0,1,1,0,0,0,-2,0,-1,0,-3.616666667,-18,-8,-9,-7,-9,-1,-9,0,0,0,0,-9,0,-1,-1,-1,0,-4.65,28,-2,25,-1,3,-1,2,0,1,4,0,-1,0,-2,0,0,0,-4.15
Jamey-Lyn Horth,Ivana Petrovic,1,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Blake Grice,Eric Colon 27 - 30. Thomas Collins 29 - 28. Mike Bell 28 - 29.,Women's Flyweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,-10,-7,-12,-4,2,-3,0,2,0,1,1,0,0,0,0,0,-1,-2.35,7,-7,6,0,1,-7,0,2,-1,0,1,0,0,-1,-2,0,0,-2.35,-14,-3,-15,-4,1,1,0,1,0,-5,6,0,0,1,0,0,-1,-0.55
Magomed Ankalaev,Aleksandar Rakic,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Vitor Ribeiro,Sal D'amato 28 - 29. Jacob Montalvo 28 - 29. Tony Weeks 28 - 29.,Light Heavyweight Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10/26/24,3,-3,-8,0,0,-3,-8,3,5,-11,-3,0,0,0,0,0,0,0,0,4,4,0,1,4,3,5,4,-5,5,-1,0,0,0,0,0,0,0.116666667,15,7,14,7,1,0,2,4,-5,-2,3,0,0,0,-1,0,0,0.4
Lerone Murphy,Dan Ige,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 28 - 29. Ben Cartlidge 28 - 29. Hadi Mohamed Ali 28 - 29.,Featherweight Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10/26/24,3,-14,-14,1,-1,-15,-13,-16,2,-1,-5,-2,-8,-1,0,0,0,-1,-1.133333333,24,6,16,1,8,5,7,3,-2,6,2,0,0,1,-1,0,-1,0.233333333,16,-1,3,3,13,-4,10,2,1,4,6,3,0,1,1,0,0,-1.6
Mateusz Rebecki,Myktybek Orolbai,1,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Vitor Ribeiro,Jacob Montalvo 29 - 28. Sal D'amato 28 - 29. Ben Cartlidge 28 - 29.,Catch Weight Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10/26/24,3,5,1,0,0,5,1,2,5,-2,4,1,0,0,0,1,0,0,0,-4,-1,-2,-1,-2,0,-2,-1,1,-3,1,0,0,-1,-3,0,0,-0.483333333,7,4,0,4,7,0,6,0,1,-7,3,11,1,2,0,0,-1,0.8
Farid Basharat,Victor Hugo,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Mike Bell 27 - 30. Hadi Mohamed Ali 28 - 29. David Lethaby 28 - 29.,Featherweight Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10/26/24,3,16,-5,4,7,12,-12,7,-1,6,10,0,2,0,0,-2,-1,0,0.633333333,5,0,0,0,5,0,11,-4,-2,4,1,0,0,-1,0,0,0,-0.2,20,4,22,6,-2,-2,-2,-1,1,-3,-1,2,0,4,2,0,0,3.883333333
Ismail Naurdiev,Bruno Silva,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Sal D'amato 27 - 30. Jacob Montalvo 27 - 30. Tony Weeks 27 - 30.,Middleweight Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10/26/24,3,9,2,8,3,1,-1,-1,2,0,-2,3,0,0,1,4,0,0,2.05,24,3,18,3,6,0,3,3,0,3,-1,4,0,2,0,0,0,2.166666667,36,-8,13,2,23,-10,12,6,5,20,3,0,0,0,3,0,0,1.633333333
Rinat Fakhretdinov,Carlos Leal,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Vitor Ribeiro,Mike Bell 28 - 29. David Lethaby 28 - 29. Hadi Mohamed Ali 27 - 30.,Welterweight Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10/26/24,3,-28,-8,-24,-2,-4,-6,-2,-2,0,0,-4,0,0,1,6,0,0,1.95,-7,-14,-3,0,-4,-14,-1,2,-5,-4,0,0,0,1,2,0,0,0.883333333,8,-7,-2,-1,10,-6,13,-1,-2,6,4,0,0,-1,6,0,0,0.183333333
Rob Font,Kyler Phillips,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Mike Bell 28 - 29. Derek Cleary 28 - 29. Junichiro Kamijo 28 - 29.,Bantamweight Bout,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",10/19/24,3,-14,-8,-11,-4,-3,-4,-2,-1,0,1,1,-5,0,-1,1,0,0,-3.083333333,19,-5,2,2,17,-7,17,3,-3,15,2,0,0,-2,0,0,0,0.083333333,10,-1,1,-1,9,0,16,0,-7,8,1,0,0,-1,-1,0,0,-0.383333333
Charles Johnson,Sumudaerji,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 28 - 29. Chris Leben 28 - 29. Ron McCarthy 28 - 29.,Flyweight Bout,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",10/19/24,3,9,12,14,0,-5,12,0,3,-8,-4,-1,0,0,0,2,0,0,1.216666667,9,15,2,6,7,9,5,3,-1,-3,-1,11,1,1,1,-2,-1,0.55,-12,-5,0,0,-12,-5,-4,2,-10,-12,0,0,0,1,-2,0,0,0.366666667
Jake Hadley,Cameron Smotherman,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Adalaide Byrd 26 - 30. Ben Cartlidge 27 - 29. Derek Cleary 27 - 29.,Bantamweight Bout,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",10/19/24,3,-13,-8,0,0,-13,-8,-5,-16,8,-13,0,0,0,0,0,0,0,0,1,-10,8,1,-7,-11,-7,-3,3,-8,1,0,0,1,0,0,0,1.116666667,-15,-39,1,0,-16,-39,-3,-12,-1,-16,0,0,0,0,1,0,0,0.766666667
Darren Elkins,Daniel Pineda,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Ben Cartlidge 28 - 29. Junichiro Kamijo 28 - 29. Tony Weeks 28 - 29.,Featherweight Bout,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",10/19/24,3,-4,9,6,6,-10,3,-9,-1,0,1,0,-11,0,1,1,-2,0,0,22,21,15,5,7,16,9,-1,-1,2,-1,6,0,2,2,0,0,2.316666667,23,14,12,6,11,8,9,4,-2,8,3,0,0,0,6,0,0,1.2
Matheus Nicolau,Asu Almabayev,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Mike Bell 28 - 29. Ron McCarthy 28 - 29. Brian Puccillo 28 - 29.,Flyweight Bout,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",10/19/24,3,-4,-2,0,0,-4,-2,0,-1,-3,-4,0,0,0,0,0,0,0,0,1,-1,-3,1,4,-2,5,-2,1,1,-1,4,0,-1,-4,1,0,-1.133333333,-14,-24,-8,-22,-6,-2,-4,0,-2,-2,0,-4,-1,0,0,0,0,-4.15
Brad Katona,Jean Matsumoto,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 28 - 29. Derek Cleary 28 - 29. Ron McCarthy 28 - 29.,Bantamweight Bout,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",10/19/24,3,15,-19,5,0,10,-19,7,3,0,0,9,1,0,0,-4,0,0,-0.4,-4,-31,4,0,-8,-31,-5,3,-6,-9,1,0,0,1,-1,0,0,-0.2,-3,-10,-1,0,-2,-10,4,0,-6,-3,1,0,0,1,4,0,0,2.116666667
Jessica Penne,Elise Reed,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Adalaide Byrd 28 - 29. Derek Cleary 28 - 29. Ron McCarthy 28 - 29.,Women's Strawweight Bout,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",10/19/24,3,-54,2,-67,-1,13,3,7,7,-1,9,4,0,0,1,4,0,0,2.683333333,-30,-2,-4,0,-26,-2,-24,-3,1,-25,-1,0,0,0,4,0,0,0.216666667,-47,-1,3,0,-50,-1,-41,-4,-5,-50,0,0,0,0,4,0,0,-0.133333333
Melissa Martinez,Alice Ardelean,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Mike Bell 27 - 30. Ron McCarthy 27 - 30. Tony Weeks 27 - 30.,Women's Strawweight Bout,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",10/19/24,3,-11,-20,-2,0,-9,-20,-7,1,-3,-8,-1,0,0,0,0,0,0,-0.033333333,-19,-19,-3,-1,-16,-18,-18,-3,5,-16,0,0,0,0,-1,0,0,-0.066666667,5,-25,0,-4,5,-21,-1,5,1,5,0,0,0,0,0,0,0,-0.583333333
Austen Lane,Robelis Despaigne,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Adalaide Byrd 28 - 29. Junichiro Kamijo 28 - 29. Brian Puccillo 28 - 29.,Heavyweight Bout,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",10/19/24,3,2,4,0,2,2,2,-2,3,1,1,-3,4,0,1,2,0,0,4.316666667,1,-2,5,1,-4,-3,-9,2,3,-4,0,0,0,1,2,0,0,0.883333333,27,10,33,9,-6,1,-5,-1,0,-1,-7,2,0,1,1,0,0,3.766666667
Brad Tavares,JunYong Park,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),,Junichiro Kamijo 29 - 28. Mike Bell 28 - 29. Eric Colon 28 - 29.,Middleweight Bout,UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",10/12/24,3,6,6,-1,2,7,4,9,-2,0,4,0,3,0,0,-2,0,0,-0.6,-37,8,-1,0,-36,8,-25,1,-12,-33,-3,0,0,-1,0,0,0,-0.583333333,-20,-14,-15,-8,-5,-6,-5,-1,1,0,0,-5,0,-1,-2,0,0,-4.65
Chidi Njokuani,Jared Gooden,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 27 - 30. Chris Lee 27 - 30. Tony Weeks 27 - 30.,Welterweight Bout,UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",10/12/24,3,23,2,5,-3,18,5,4,14,0,2,16,0,0,-1,-3,0,0,2.533333333,29,-6,-12,-3,41,-3,13,22,6,7,34,0,0,0,0,0,0,3.016666667,29,9,3,-2,26,11,19,6,1,5,1,20,0,-1,-3,-1,0,1.233333333
Daniel Rodriguez,Alex Morono,1,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Adalaide Byrd 28 - 29. Sal D'amato 29 - 28. Mike Bell 28 - 29.,Welterweight Bout,UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",10/12/24,3,-6,-19,0,0,-6,-19,-13,6,1,-6,0,0,0,0,0,0,0,0,21,-13,0,0,21,-13,-1,16,6,21,0,0,0,0,0,0,0,0,20,-19,-14,-2,34,-17,0,25,9,28,6,0,0,1,-1,0,0,0.933333333
Themba Gorimbo,Niko Price,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Mike Bell 27 - 30. Eric Colon 27 - 30. Sal D'amato 27 - 30.,Welterweight Bout,UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",10/12/24,3,32,31,6,7,26,24,16,1,9,19,-1,8,0,1,-1,1,0,2.766666667,33,2,10,3,23,-1,14,5,4,10,2,11,0,4,-1,-1,0,0.866666667,18,7,15,8,3,-1,1,1,1,3,0,0,0,2,1,1,0,4.6
Julia Polastri,Cory McKenna,1,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Adalaide Byrd 28 - 29. Sal D'amato 29 - 28. Ron McCarthy 27 - 30.,Women's Strawweight Bout,UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",10/12/24,3,15,-5,-8,2,23,-7,5,15,3,6,17,0,0,0,-2,0,0,-0.55,29,-13,18,-1,11,-12,0,7,4,4,7,0,0,0,0,0,0,1.216666667,0,-21,-14,-13,14,-8,5,7,2,9,3,2,0,-1,-2,0,0,-2.783333333
Dan Argueta,Cody Haddon,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell 27 - 30. Chris Lee 27 - 30. Tony Weeks 27 - 30.,Bantamweight Bout,UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",10/12/24,3,-28,-23,1,0,-29,-23,-25,-4,0,-31,2,0,0,1,8,1,0,1.583333333,-17,-11,3,0,-20,-11,-12,-10,2,-21,-1,2,0,1,3,0,0,0.85,-38,-20,-1,0,-37,-20,-29,-11,3,-36,-2,1,0,0,7,0,0,0.433333333
Jose Aldo,Mario Bautista,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Mike Beltran,Chris Lee 29 - 28. Derek Cleary 28 - 29. Mike Bell 28 - 29.,Bantamweight Bout,UFC 307: Pereira vs. Rountree Jr.,"Salt Lake City, Utah, USA",10/5/24,3,-20,-23,-13,-3,-7,-20,0,-4,-3,-3,-4,0,0,0,-2,0,0,-2.333333333,-6,-9,-8,3,2,-12,4,0,-2,-1,0,3,0,0,-4,0,0,-2.233333333,1,0,-6,-5,7,5,11,-2,-2,6,1,0,0,0,-4,0,0,-2.683333333
Ketlen Vieira,Kayla Harrison,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Derek Cleary 27 - 30. Sal D'amato 27 - 30. Steve Faragher 28 - 29.,Women's Bantamweight Bout,UFC 307: Pereira vs. Rountree Jr.,"Salt Lake City, Utah, USA",10/5/24,3,-10,-5,2,-6,-12,1,-6,-9,3,1,-9,-4,0,-1,-1,0,0,-2.766666667,2,-3,3,-1,-1,-2,0,-1,0,2,-3,0,0,0,-2,0,0,-2.033333333,-23,-2,-5,-1,-18,-1,-16,0,-2,-1,0,-17,0,-1,-3,0,0,-3.1
Marina Rodriguez,Iasmin Lucindo,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Marc Goddard,Steve Faragher 29 - 28. Mike Bell 28 - 29. Dan Furse 28 - 29.,Women's Strawweight Bout,UFC 307: Pereira vs. Rountree Jr.,"Salt Lake City, Utah, USA",10/5/24,3,-2,-2,4,0,-6,-2,0,-4,-2,-5,-1,0,0,-1,0,0,0,-1.066666667,-3,6,-9,-1,6,7,7,-1,0,4,2,0,0,-1,0,0,0,-2.066666667,15,16,12,-2,3,18,2,1,0,2,1,0,0,0,-1,0,-1,-1.35
Austin Hubbard,Alexander Hernandez,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Tyler Tomlinson,Chris Lee 30 - 27. Dan Furse 28 - 29. Steve Faragher 28 - 29.,Lightweight Bout,UFC 307: Pereira vs. Rountree Jr.,"Salt Lake City, Utah, USA",10/5/24,3,-12,-3,1,0,-13,-3,-8,3,-8,-13,0,0,0,0,1,0,0,0,-10,-1,-6,0,-4,-1,-1,-1,-2,-7,3,0,0,0,6,0,0,-0.066666667,-4,6,-5,-1,1,7,0,1,0,2,-1,0,0,0,3,0,0,-0.516666667
Cesar Almeida,Ihor Potieria,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dave Seljestad,Steve Faragher 27 - 30. Chris Lee 27 - 30. Dan Furse 27 - 30.,Middleweight Bout,UFC 307: Pereira vs. Rountree Jr.,"Salt Lake City, Utah, USA",10/5/24,3,7,2,0,0,7,2,0,2,5,7,0,0,0,-1,-2,0,0,-0.966666667,24,10,12,3,12,7,11,3,-2,-4,1,15,0,-2,-1,1,1,0.933333333,-10,2,-4,0,-6,2,-1,0,-5,-4,-1,-1,0,0,0,0,0,-1.25
Carla Esparza,Tecia Pennington,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Tyler Tomlinson,Sal D'amato 28 - 29. Steve Faragher 28 - 29. Dan Furse 27 - 30.,Women's Strawweight Bout,UFC 307: Pereira vs. Rountree Jr.,"Salt Lake City, Utah, USA",10/5/24,3,58,3,65,8,-7,-5,-4,-1,-2,-4,-3,0,0,1,2,0,0,2.866666667,-15,10,4,3,-19,7,-8,-3,-8,-19,0,0,0,2,1,0,0,0.483333333,-21,14,-6,2,-15,12,14,-3,-26,-19,-2,6,0,1,0,0,0,0.316666667
Nassourdine Imavov,Brendan Allen,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Sal D'amato 28 - 29. David Lethaby 28 - 29. Anders Ohlsson 28 - 29.,Middleweight Bout,UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",9/28/24,3,-16,0,-13,-1,-3,1,-2,0,-1,0,0,-3,0,-1,0,0,0,-4.75,20,0,5,1,15,-1,15,2,-2,7,0,8,0,0,-3,0,0,3.25,19,9,4,2,15,7,18,-1,-2,10,1,4,0,0,-6,0,0,1.183333333
William Gomis,Joanderson Brito,1,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Ben Cartlidge 28 - 29. Anders Ohlsson 29 - 28. Clemens Werner 28 - 29.,Featherweight Bout,UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",9/28/24,3,2,1,2,3,0,-2,0,2,-2,-1,1,0,0,-1,1,-1,1,1.983333333,6,-12,3,-8,3,-4,0,3,0,2,2,-1,0,-1,0,-1,0,-3.566666667,4,-5,-7,-1,11,-4,7,8,-4,6,8,-3,0,-1,-1,0,0,-1.216666667
Ion Cutelaba,Ivan Erslan,1,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Anders Ohlsson 28 - 29. Damien Gluski 29 - 28. Clemens Werner 28 - 29.,Light Heavyweight Bout,UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",9/28/24,3,-3,40,3,1,-6,39,-12,3,3,-7,1,0,0,0,3,0,0,0.416666667,27,8,17,2,10,6,6,-1,5,9,0,1,0,2,2,0,-1,-0.316666667,-7,-5,-9,-5,2,0,1,0,1,3,0,-1,0,0,3,0,0,-3.433333333
Oumar Sy,Da Woon Jung,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Ben Cartlidge 27 - 30. Sal D'amato 27 - 30. David Lethaby 27 - 30.,Light Heavyweight Bout,UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",9/28/24,3,2,-7,-7,0,9,-7,-1,3,7,9,0,0,0,1,3,0,0,1.45,35,-2,0,1,35,-3,20,8,7,28,7,0,0,0,1,0,0,-0.033333333,24,-16,7,2,17,-18,7,3,7,16,1,0,0,1,0,0,-1,1.466666667
Ludovit Klein,Roosevelt Roberts,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Christophe Chapuis,Ludovic Dandine 27 - 30. Anders Ohlsson 28 - 29. Clemens Werner 28 - 29.,Lightweight Bout,UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",9/28/24,3,14,2,8,0,6,2,3,1,2,2,4,0,0,0,-1,0,0,1.216666667,24,13,16,7,8,6,6,0,2,1,1,6,0,0,0,0,0,4.783333333,11,13,4,7,7,6,3,4,0,6,0,1,0,2,-1,0,0,2.133333333
Taylor Lapilus,Vince Morales,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Mongi Zitouni 27 - 30. Ben Cartlidge 27 - 30. David Lethaby 27 - 30.,Bantamweight Bout,UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",9/28/24,3,23,13,-1,1,24,12,17,3,4,22,2,0,0,0,1,0,0,0,11,2,-3,-1,14,3,11,5,-2,12,2,0,0,-1,-2,0,0,-1.4,16,-11,-1,-2,17,-9,10,6,1,12,5,0,0,-1,-2,0,0,-1.466666667
Daniel Barez,Victor Altamirano,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Ludovic Dandine 28 - 29. David Lethaby 28 - 29. Clemens Werner 28 - 29.,Flyweight Bout,UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",9/28/24,3,13,-17,6,-1,7,-16,9,-1,-1,1,0,6,1,0,0,0,0,1.15,3,-8,0,0,3,-8,6,-3,0,3,0,0,0,0,-1,0,0,0,-14,-19,0,0,-14,-19,-9,-6,1,-14,0,0,0,0,0,0,0,0
Nora Cornolle,Jacqueline Cavalcanti,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Christophe Chapuis,Mongi Zitouni 29 - 28. Sal D'amato 28 - 29. Anders Ohlsson 28 - 29.,Women's Bantamweight Bout,UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",9/28/24,3,4,-16,-1,5,5,-21,6,-2,1,2,3,0,0,1,0,0,-1,1.116666667,5,-9,1,4,4,-13,-6,8,2,0,4,0,0,0,5,0,0,1.4,-16,-6,-7,0,-9,-6,-13,-1,5,-9,0,0,0,0,3,0,0,0.266666667
Brian Ortega,Diego Lopes,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Mike Bell 26 - 30. Sal D'amato 27 - 30. Junichiro Kamijo 27 - 30.,Featherweight Bout,UFC 306: Riyadh Season Noche UFC,"Las Vegas, Nevada, USA",9/14/24,3,-13,1,1,-1,-14,2,-13,-1,0,0,0,-14,0,-1,0,0,0,-2.05,-6,8,0,0,-6,8,1,0,-7,-4,-2,0,0,0,1,0,0,-0.116666667,-25,22,-2,0,-23,22,-11,-8,-4,-10,-3,-10,0,0,1,0,0,-0.483333333
Daniel Zellhuber,Esteban Ribovics,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Jason Herzog,Eric Colon 28 - 29. Sal D'amato 29 - 28. Chris Lee 28 - 29.,Lightweight Bout,UFC 306: Riyadh Season Noche UFC,"Las Vegas, Nevada, USA",9/14/24,3,3,8,0,0,3,8,6,2,-5,2,1,0,0,0,0,0,0,0,11,16,0,0,11,16,10,7,-6,10,1,0,0,0,0,0,0,0,-49,-26,0,0,-49,-26,-36,-8,-5,-49,0,0,1,0,1,0,0,0.25
