Fighter1,Fighter2,F1 Winner?,F2 Winner?,Fight Method,Round,Time,Time Format,Referee,Finish Details or Judges Scorecard,Bout,Event Name,Location,Date,Rounds,Total Strike Landed R1  Disp.,Total Strike Missed R1  Disp.,Non-Sig. Strike Landed R1  Disp.,Non-Sig. Strike Missed R1  Disp.,Sig. Strike Landed R1  Disp.,Sig. Strike Missed R1  Disp.,Head R1  Disp.,Body R1  Disp.,Leg R1  Disp.,Distance R1  Disp.,Clinch R1  Disp.,Ground R1  Disp.,Knockdowns R1  Disp.,TD Completed R1  Disp.,TD Missed R1  Disp.,Sub. Att R1  Disp.,Rev. R1  Disp.,Ctrl Time (Minutes) R1  Disp.,Total Strike Landed R2  Disp.,Total Strike Missed R2  Disp.,Non-Sig. Strike Landed R2  Disp.,Non-Sig. Strike Missed R2  Disp.,Sig. Strike Landed R2  Disp.,Sig. Strike Missed R2  Disp.,Head R2  Disp.,Body R2  Disp.,Leg R2  Disp.,Distance R2  Disp.,Clinch R2  Disp.,Ground R2  Disp.,Knockdowns R2  Disp.,TD Completed R2  Disp.,TD Missed R2  Disp.,Sub. Att R2  Disp.,Rev. R2  Disp.,Ctrl Time (Minutes) R2  Disp.,Total Strike Landed R3  Disp.,Total Strike Missed R3  Disp.,Non-Sig. Strike Landed R3  Disp.,Non-Sig. Strike Missed R3  Disp.,Sig. Strike Landed R3  Disp.,Sig. Strike Missed R3  Disp.,Head R3  Disp.,Body R3  Disp.,Leg R3  Disp.,Distance R3  Disp.,Clinch R3  Disp.,Ground R3  Disp.,Knockdowns R3  Disp.,TD Completed R3  Disp.,TD Missed R3  Disp.,Sub. Att R3  Disp.,Rev. R3  Disp.,Ctrl Time (Minutes) R3  Disp.
Abdul Razak Alhassan,Omari Akhmedov,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Bobby Rehman,Mans Nilsson 27 - 30. Jorgen Segerlind 29 - 28. Andy Roberts 27 - 30.,Welterweight Bout,UFC Fight Night: Gustafsson vs. Teixeira,"Stockholm, Sweden",5/28/17,3,-8,-18,-4,1,-4,-19,-6,2,0,-3,0,-1,0,-1,-1,0,0,-1.016666667,-25,-25,-19,-7,-6,-18,-1,-5,0,5,-1,-10,0,-3,0,0,0,-2.433333333,-22,-13,-23,-5,1,-8,2,0,-1,-3,5,-1,0,-2,-2,0,1,-2.2
Oliver Enkamp,Nordine Taleb,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Andy Roberts 27 - 30. Jorgen Segerlind 27 - 30. Anders Ohlsson 28 - 29.,Welterweight Bout,UFC Fight Night: Gustafsson vs. Teixeira,"Stockholm, Sweden",5/28/17,3,-8,14,-1,0,-7,14,-6,3,-4,-11,5,-1,0,0,1,0,0,-0.116666667,-10,17,1,3,-11,14,-12,1,0,-8,1,-4,0,0,3,0,-1,-1.733333333,-9,7,-4,-1,-5,8,-5,1,-1,2,0,-7,0,-1,0,0,0,-1.9
Pedro Munhoz,Damian Stasiak,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Neil Hall,Anders Ohlsson 27 - 30. Mans Nilsson 27 - 29. Andy Roberts 28 - 29.,Bantamweight Bout,UFC Fight Night: Gustafsson vs. Teixeira,"Stockholm, Sweden",5/28/17,3,9,0,0,0,9,0,1,3,5,6,3,0,0,-2,3,1,0,-0.2,1,-13,0,0,1,-13,-5,1,5,-2,3,0,0,0,-1,0,0,0.483333333,18,-8,7,0,11,-8,8,0,3,6,3,2,0,3,1,0,0,1.95
Trevor Smith,Chris Camozzi,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin Sataki,Jorgen Segerlind 27 - 30. Ben Cartlidge 26 - 30. Andreas Gruner 26 - 30.,Middleweight Bout,UFC Fight Night: Gustafsson vs. Teixeira,"Stockholm, Sweden",5/28/17,3,9,8,3,1,6,7,6,-2,2,2,-2,6,0,2,0,-1,0,4.35,41,7,22,4,19,3,8,12,-1,0,0,19,1,1,0,0,0,4.75,5,5,1,2,4,3,2,1,1,0,2,2,0,1,3,0,0,4.3
Reza Madadi,Joaquim Silva,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Marc Goddard,Mans Nilsson 28 - 29. Andreas Gruner 29 - 28. Andy Roberts 28 - 29.,Lightweight Bout,UFC Fight Night: Gustafsson vs. Teixeira,"Stockholm, Sweden",5/28/17,3,32,-14,33,-4,-1,-10,-3,2,0,1,1,-3,0,2,1,0,0,3.3,-11,-33,-6,-1,-5,-32,0,-5,0,-7,2,0,0,1,4,0,0,-0.383333333,-21,-33,-13,-9,-8,-24,-9,1,0,-5,0,-3,0,2,3,-1,0,0.7
Darren Till,Jessin Ayari,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Neil Hall,Ben Cartlidge 27 - 30. Anders Ohlsson 27 - 30. Mans Nilsson 27 - 29.,Welterweight Bout,UFC Fight Night: Gustafsson vs. Teixeira,"Stockholm, Sweden",5/28/17,3,-3,-10,-1,0,-2,-10,-1,0,-1,-1,-1,0,0,2,1,0,0,0.333333333,-1,-9,-6,-1,5,-8,6,-1,0,2,-4,7,1,0,-4,-1,0,2.2,-4,-28,-4,0,0,-28,1,-2,1,5,-5,0,0,0,-1,0,0,-0.366666667
Demian Maia,Jorge Masvidal,1,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Jeff Mullen 28 - 29. Aladin Martinez 29 - 28. Sal D'amato 28 - 29.,Welterweight Bout,UFC 211: Miocic vs. Dos Santos,"Dallas, Texas, USA",5/13/17,3,11,-2,24,6,-13,-8,-9,-4,0,0,3,-16,0,3,2,0,0,3.5,-3,3,-1,3,-2,0,2,-1,-3,-5,-3,6,0,0,6,0,1,2.033333333,4,0,5,1,-1,-1,2,-2,-1,-8,0,7,0,1,0,0,0,2.466666667
Krzysztof Jotko,David Branch,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Don Turnage,Jeff Mullen 28 - 29. Chris Reed 29 - 28. Troy Wincapaw 28 - 29.,Middleweight Bout,UFC 211: Miocic vs. Dos Santos,"Dallas, Texas, USA",5/13/17,3,-27,-9,-17,2,-10,-11,-3,-2,-5,-3,-2,-5,0,0,-1,0,0,-2.966666667,-5,-15,-4,-3,-1,-12,2,0,-3,-3,2,0,0,0,-3,0,0,-0.283333333,-12,-3,-12,0,0,-3,2,0,-2,-4,4,0,0,-1,0,0,0,-1
Jessica Aguilar,Cortney Casey,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Dan Mathisen 27 - 30. Chris Reed 27 - 30. Aladin Martinez 27 - 30.,Women's Strawweight Bout,UFC 211: Miocic vs. Dos Santos,"Dallas, Texas, USA",5/13/17,3,-29,-41,-15,-2,-14,-39,-15,1,0,-10,-7,3,0,1,0,0,0,2.483333333,-23,-36,-2,-1,-21,-35,-13,0,-8,-8,0,-13,0,2,0,0,0,3.25,-18,-67,-7,1,-11,-68,-15,0,4,-8,-4,1,0,1,1,0,0,-0.616666667
Gabriel Benitez,Enrique Barzola,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Dan Mathisen 28 - 29. Chris Reed 28 - 29. Aladin Martinez 28 - 29.,Featherweight Bout,UFC 211: Miocic vs. Dos Santos,"Dallas, Texas, USA",5/13/17,3,-3,-7,-11,-4,8,-3,4,4,0,8,0,0,0,-3,-1,0,0,-1.066666667,-8,-16,-10,-7,2,-9,-4,4,2,3,-1,0,0,-4,-3,0,0,-2.3,-16,7,-11,-3,-5,10,0,-3,-2,2,-5,-2,0,-2,-2,-1,1,-2.466666667
