Timestamp,What grade are you in?,What's your age?,What’s your gender?,"On a scale of (0 - 5), how often do you use your phone?",What is the most used social media app in you phone?,"How much time do you spend using social media?
","Did you answer the questions in this survey honestly?
"
5/2/2026 3:21:45,Junior,16,Female,3,Instagram,3 - 4 Hours,Yes
5/2/2026 4:16:45,Senior,17,Male,3,Tiktok,3 - 4 Hours,Yes
5/2/2026 4:01:45,Junior,17,Female,5,Tiktok,10+ Hours,Yes
5/2/2026 3:08:45,Senior,17,Male,5,Tiktok,7 - 8 Hours,Yes
5/2/2026 3:13:45,Junior,16,Male,4,Instagram,5 - 6 Hours,Yes
5/2/2026 2:56:45,Sophomore,16,Female,3,Instagram,3 - 4 Hours,Yes
5/2/2026 3:16:45,Sophomore,16,Male,5,Instagram,3 - 4 Hours,Yes
5/2/2026 3:16:45,Senior,18,Female,3,Tiktok,3 - 4 Hours,Yes
5/2/2026 4:43:45,Sophomore,16,Male,4,Youtube,3 - 4 Hours,Yes
5/2/2026 4:14:45,Sophomore,16,Male,5,Instagram,3 - 4 Hours,Yes
5/2/2026 3:35:45,Sophomore,16,Male,3,Instagram,3 - 4 Hours,Yes
5/2/2026 4:35:45,Junior,16,Female,5,Youtube,3 - 4 Hours,Yes
5/2/2026 3:27:45,Junior,17,Female,5,Instagram,3 - 4 Hours,Yes
5/2/2026 5:10:45,Sophomore,16,Male,3,Tiktok,5 - 6 Hours,Yes
5/2/2026 5:19:45,Senior,18,Male,5,Tiktok,3 - 4 Hours,Yes
5/2/2026 4:45:45,Sophomore,16,Female,5,Instagram,3 - 4 Hours,Yes
5/2/2026 5:12:45,Sophomore,16,Male,5,Tiktok,3 - 4 Hours,Yes
5/2/2026 5:36:45,Junior,17,Male,3,Tiktok,3 - 4 Hours,Yes
5/2/2026 5:35:45,Junior,17,Female,4,Tiktok,3 - 4 Hours,Yes
5/2/2026 3:56:45,Junior,16,Male,5,Instagram,7 - 8 Hours,Yes
5/2/2026 5:03:45,Senior,17,Female,4,Instagram,3 - 4 Hours,Yes
5/2/2026 5:31:45,Sophomore,16,Male,4,Instagram,5 - 6 Hours,Yes
5/2/2026 4:50:45,Junior,17,Male,3,Instagram,1 - 2 Hours,Yes
5/2/2026 4:16:45,Junior,17,Male,4,Tiktok,3 - 4 Hours,Yes
5/2/2026 4:22:45,Sophomore,16,Male,3,Tiktok,3 - 4 Hours,Yes
5/2/2026 6:08:45,Senior,17,Female,4,Tiktok,3 - 4 Hours,Yes
5/2/2026 4:50:45,Sophomore,16,Male,4,Instagram,3 - 4 Hours,Yes
5/2/2026 6:11:45,Junior,17,Male,4,Youtube,3 - 4 Hours,Yes
5/2/2026 5:18:45,Junior,16,Male,4,Instagram,3 - 4 Hours,Yes
5/2/2026 6:04:45,Junior,17,Male,2,Youtube,3 - 4 Hours,Yes
5/2/2026 5:26:45,Junior,16,Female,4,Tiktok,5 - 6 Hours,Yes
5/2/2026 5:56:45,Senior,17,Female,4,Tiktok,3 - 4 Hours,Yes
5/2/2026 5:24:45,Junior,17,Male,4,Tiktok,3 - 4 Hours,Yes
5/2/2026 6:08:45,Freshman,15,Male,5,Discord,10+ Hours,Yes
5/2/2026 5:33:45,Sophomore,15,Male,4,Youtube,10+ Hours,Yes
5/2/2026 5:59:45,Sophomore,16,Male,3,Tiktok,Less than 1 Hour,Yes
5/2/2026 7:11:45,Sophomore,16,Male,4,Tiktok,3 - 4 Hours,Yes
5/2/2026 6:51:45,Senior,18,Female,4,Tiktok,5 - 6 Hours,Yes
5/2/2026 5:47:45,Senior,18,Female,5,Instagram,3 - 4 Hours,Yes
5/2/2026 5:35:45,Sophomore,15,Male,3,Youtube,3 - 4 Hours,Yes
5/2/2026 6:37:45,Senior,17,Male,4,Instagram,3 - 4 Hours,Yes
5/2/2026 7:26:45,Freshman,14,Male,4,Instagram,3 - 4 Hours,Yes
5/2/2026 6:34:45,Sophomore,15,Male,5,Discord,3 - 4 Hours,Yes
5/2/2026 7:07:45,Sophomore,16,Female,3,Instagram,3 - 4 Hours,Yes
5/2/2026 7:24:45,Sophomore,16,Male,4,Tiktok,1 - 2 Hours,Yes
5/2/2026 7:20:45,Sophomore,16,Male,3,Tiktok,1 - 2 Hours,Yes
5/2/2026 7:01:45,Sophomore,16,Male,5,Tiktok,3 - 4 Hours,Yes
5/2/2026 7:12:45,Junior,16,Female,4,Instagram,3 - 4 Hours,Yes
5/2/2026 6:49:45,Sophomore,16,Male,4,Tiktok,3 - 4 Hours,Yes
5/2/2026 7:25:45,Sophomore,16,Male,3,Snapchat,1 - 2 Hours,Yes# reviewed: 2026-05-29 18:14:01 [6] run-12606
# reviewed: 2026-06-03 18:48:28 [8] run-7288
